0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-RC-2019-5100100151001,RECAUDACIÓN TRIBUTARIA,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 18:00:00 CET (ISO: 2019-02-25T18:00:00+01:00),"15.516,38 €",BOE-B-2019-4353,"4.154,01 €","9.577,52 €","4.154,01 €","1.000,00 €","208,00 €","conjunto NORTE-OESTE -V del Residencial Diana, km 168 Carretera Nacional 340 CADIZ- MALAGA",29668,Estepona,Málaga,,
SUB-NE-2019-365653,NOTARIAL EN VENTA EXTRAJUDICIAL,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 18:00:00 CET (ISO: 2019-02-25T18:00:00+01:00),"235.107,66 €",BOE-B-2019-4367,No consta,"267.439,00 €",Sin puja mínima,Sin tramos,"13.371,95 €",PARAJE LA SALVADORA,23658,Jamilena,Jaén,,
SUB-NE-2019-345900,NOTARIAL EN VENTA EXTRAJUDICIAL,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 18:00:00 CET (ISO: 2019-02-25T18:00:00+01:00),"14.082,50 €",BOE-B-2019-4359,No consta,"67.760,00 €",Sin puja mínima,Sin tramos,"3.388,00 €","carrer de l'Om, número 13",25210,Guissona,Lérida,,
SUB-NE-2019-326059,NOTARIAL EN VENTA EXTRAJUDICIAL,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 18:00:00 CET (ISO: 2019-02-25T18:00:00+01:00),"230.000,00 €",BOE-B-2019-4368,No consta,"230.000,00 €",Sin puja mínima,Sin tramos,"11.500,00 €","CALLE LERIN NUMERO 12, 3º IZQUIERDA",31013,Ansoáin,Navarra,,
SUB-JA-2018-109004,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0034 16,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 18:50:37 CET (ISO: 2019-02-25T18:50:37+01:00),"123.493,64 €",BOE-B-2019-4114,"194.000,00 €","0,00 €","200,00 €","3.880,00 €","9.700,00 €","C/ NUESTRA SEÑORA DEL VILLAR Nº 7, 5º D,",28017,MADRID,Madrid,"101.080,00 €"
SUB-JA-2019-116648,JUDICIAL EN VÍA DE APREMIO,0627 0000 05 3213 16,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 19:10:51 CET (ISO: 2019-02-25T19:10:51+01:00),"939.732,82 €",BOE-B-2019-4016,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JV-2019-117474,JUDICIAL VOLUNTARIA,5075 0000 05 0416 17,05-02-2019 18:00:00 CET (ISO: 2019-02-05T18:00:00+01:00),25-02-2019 20:39:46 CET (ISO: 2019-02-25T20:39:46+01:00),"0,00 €",BOE-B-2019-4184,"170.885,00 €","0,00 €",Sin puja mínima,Sin tramos,"8.544,25 €",AVDA EZKIAGA Nº3-4ºC,20200,BEASAIN,Guipúzcoa,"157.000,00 €"
SUB-JA-2018-96999,JUDICIAL EN VÍA DE APREMIO,2100 0000 05 0258 16,01-02-2019 18:00:00 CET (ISO: 2019-02-01T18:00:00+01:00),22-02-2019 00:27:35 CET (ISO: 2019-02-22T00:27:35+01:00),"36.000,00 €",BOE-B-2019-3632,"3.349,55 €","105.063,31 €",Sin puja mínima,Sin tramos,"167,48 €","CALLE MOSSEN ANTONI MARIA ALCOVER Nº 1, BLOQUE D, ESC. D 3º-1ª",07600,LLUCMAJOR,Baleares,"11.500,00 €"
SUB-NE-2019-365650,NOTARIAL EN VENTA EXTRAJUDICIAL,01-02-2019 18:00:00 CET (ISO: 2019-02-01T18:00:00+01:00),21-02-2019 18:00:00 CET (ISO: 2019-02-21T18:00:00+01:00),"118.011,33 €",BOE-B-2019-3793,No consta,"299.267,00 €",Sin puja mínima,Sin tramos,"14.963,35 €","C/ JOANOT MARTORELL, 5, 5º2ª",08303,Mataró,Barcelona,"118.011,33 €",
SUB-JV-2018-95804,JUDICIAL VOLUNTARIA,0773 0000 05 0183 15,01-02-2019 18:00:00 CET (ISO: 2019-02-01T18:00:00+01:00),21-02-2019 18:00:00 CET (ISO: 2019-02-21T18:00:00+01:00),"129.876,92 €",BOE-B-2019-3622,"129.876,92 €","0,00 €",Sin puja mínima,Sin tramos,"6.493,85 €","Pujada del Castell, 41",08241,MANRESA,Barcelona,"9.523,00 €"
SUB-JA-2018-115949,JUDICIAL EN VÍA DE APREMIO,0219 0000 06 1258 16,01-02-2019 18:00:00 CET (ISO: 2019-02-01T18:00:00+01:00),21-02-2019 18:00:00 CET (ISO: 2019-02-21T18:00:00+01:00),"144.046,50 €",BOE-B-2019-3581,"276.458,00 €","0,00 €",Sin puja mínima,"5.529,16 €","13.822,90 €","CALLE Torrevieja, Residencial Los Olivos Fase II, nº 29 B- Planta Baja, Partida Cala D'Or de El Campello- Alicante",03560,El Campello,Alicante,"204.578,92 €"
SUB-NE-2019-345896,NOTARIAL EN VENTA EXTRAJUDICIAL,31-01-2019 18:00:00 CET (ISO: 2019-01-31T18:00:00+01:00),20-02-2019 18:00:00 CET (ISO: 2019-02-20T18:00:00+01:00),"171.456,77 €",BOE-B-2019-3576,No consta,"259.126,00 €",Sin puja mínima,Sin tramos,"12.956,30 €","Callejón del Frejo, número 16",11540,Sanlúcar de Barrameda,Cádiz,,
SUB-JA-2019-116582,JUDICIAL EN VÍA DE APREMIO,1911 0000 06 0932 11,31-01-2019 18:00:00 CET (ISO: 2019-01-31T18:00:00+01:00),20-02-2019 18:21:08 CET (ISO: 2019-02-20T18:21:08+01:00),"309.899,36 €",BOE-B-2019-3263,"1.052.290,00 €","0,00 €",Sin puja mínima,"21.045,80 €","52.614,50 €",AVENIDA DE LOS ALMENDROS 141,21110,ALJARAQUE,Huelva,"631.374,00 €"
SUB-JA-2019-116760,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0266 16,31-01-2019 18:00:00 CET (ISO: 2019-01-31T18:00:00+01:00),20-02-2019 19:55:50 CET (ISO: 2019-02-20T19:55:50+01:00),"121.488,96 €",BOE-B-2019-3271,"300.988,26 €","0,00 €","200,00 €","6.019,76 €","15.049,41 €","C/ GENERAL YAGÜE Nº 72, 6º C,",28020,MADRID,Madrid,"463.721,52 €"
SUB-JA-2019-116437,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0198 18,31-01-2019 18:00:00 CET (ISO: 2019-01-31T18:00:00+01:00),20-02-2019 20:01:27 CET (ISO: 2019-02-20T20:01:27+01:00),"144.234,79 €",BOE-B-2019-3273,"232.778,78 €","0,00 €",Sin puja mínima,"4.655,57 €","11.638,93 €","PISO EN CALLE FERRER DEL RIO Nº 3, ESCALERA A, 1º-1, EDIFICIO BRUSELAS, 28028 DE MADRID",28028,MADRID,Madrid,"256.056,35 €"
SUB-JA-2019-116996,JUDICIAL EN VÍA DE APREMIO,2055 0000 06 0972 17,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"90.786,44 €",BOE-B-2019-2993,"264.497,08 €","0,00 €",Sin puja mínima,"5.289,94 €","13.224,85 €",CALLE SAN PABLO Nº 46 A,23620,MENGIBAR,Jaén,"84.639,04 €"
SUB-JA-2019-116554,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0936 15,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"118.302,58 €",BOE-B-2019-3016,"435.715,85 €","0,00 €",Sin puja mínima,"8.714,31 €","21.785,79 €",MIGUEL YUSTE Nº 12-14 (ACTUALMENTE Nº 16) PTA 4 B,28037,MADRID,Madrid,"209.143,44 €"
SUB-JA-2018-115524,JUDICIAL EN VÍA DE APREMIO,4883 0000 05 0173 12,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"593.192,23 €",BOE-B-2019-3090,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2018-115324,JUDICIAL EN VÍA DE APREMIO,3814 0000 05 0576 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"4.550,87 €",BOE-B-2019-3042,"8.433,32 €","8.433,32 €",Sin puja mínima,"168,66 €","421,66 €",CALLAO SALVAJE,38678,ADEJE,Santa Cruz de Tenerife,"1.517,94 €"
SUB-JA-2018-115434,JUDICIAL EN VÍA DE APREMIO,2183 0000 06 1372 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"23.505,71 €",BOE-B-2019-2998,"117.847,00 €","0,00 €",Sin puja mínima,"2.356,94 €","5.892,35 €","Ciutadella, nº 21",25005,LLEIDA,Lérida,"56.566,56 €"
SUB-JA-2018-114593,JUDICIAL EN VÍA DE APREMIO,4081 0000 06 0251 17,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:00:00 CET (ISO: 2019-02-18T18:00:00+01:00),"98.548,02 €",BOE-B-2019-2961,"98.548,02 €","0,00 €",Sin puja mínima,"1.970,96 €","4.927,40 €",AVENIDA ESPAÑAEDIFICIO DON JOSE Nº 24,41700,DOS HERMANAS,Sevilla,"53.215,92 €"
SUB-JA-2019-116974,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0085 14,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:07:52 CET (ISO: 2019-02-18T18:07:52+01:00),"188.742,17 €",BOE-B-2019-3012,"249.580,75 €","0,00 €","200,00 €","4.991,61 €","12.479,03 €","C/ SAN OLEGARIO Nº8, 2º DCHA,",28044,MADRID,Madrid,"169.914,74 €"
SUB-JA-2018-115091,JUDICIAL EN VÍA DE APREMIO,4377 0000 06 0618 12,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:22:26 CET (ISO: 2019-02-18T18:22:26+01:00),"136.547,58 €",BOE-B-2019-2970,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2016-23854,JUDICIAL EN VÍA DE APREMIO,4169 0000 06 0362 15,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:34:52 CET (ISO: 2019-02-18T18:34:52+01:00),"124.665,14 €",BOE-B-2019-3086,"219.863,00 €","0,00 €",Sin puja mínima,Sin tramos,"10.993,15 €","Avenida Prat de la Riba nº 27, 2º -2ª",43001,TARRAGONA,Tarragona,"131.917,80 €"
SUB-JA-2018-113198,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0421 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:40:42 CET (ISO: 2019-02-18T18:40:42+01:00),"94.677,44 €",BOE-B-2019-3014,"211.250,46 €","0,00 €","200,00 €","4.225,00 €","10.562,52 €","CALLE PERICLES DE MADRID Nº 12, 3º DERECHA",28011,MADRID,Madrid,"105.825,00 €"
SUB-JA-2018-115523,JUDICIAL EN VÍA DE APREMIO,1333 0000 05 0951 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:40:55 CET (ISO: 2019-02-18T18:40:55+01:00),"203.052,39 €",BOE-B-2019-2944,"280.300,00 €","0,00 €",Sin puja mínima,"5.606,00 €","14.015,00 €","CALLE SIGALERO 8, BLOQUE 2, PLANTA 7, SITUACIÓN EDF. AZULMAR II.",12560,BENICASIM,Castellón,"140.150,00 €"
SUB-JA-2018-112477,JUDICIAL EN VÍA DE APREMIO,1201 0000 06 0654 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:46:06 CET (ISO: 2019-02-18T18:46:06+01:00),"5.562,69 €",BOE-B-2019-2904,"26.300,00 €","0,00 €",Sin puja mínima,"526,00 €","1.315,00 €",BLOQUE A-6 CASA NUMERO 13 C/ PEDRO PONCE PLANTA CUARTA PUERTA B,11202,ALGECIRAS,Cádiz,"24.196,00 €"
SUB-JA-2018-107855,JUDICIAL EN VÍA DE APREMIO,2773 0000 06 0591 13,29-01-2019 18:00:00 CET (ISO: 2019-01-29T18:00:00+01:00),18-02-2019 18:52:54 CET (ISO: 2019-02-18T18:52:54+01:00),"549.993,93 €",BOE-B-2019-3056,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
