identificador,tipo_de_subasta,cuenta_expediente,fecha_de_inicio,fecha_de_conclusion,cantidad_reclamada,anuncio_BOE,valor_subasta,tasacion,puja_minima,tramos_entre_pujas,importe_del_deposito,direccion,codigo_postal,localidad,provincia,puja,pm2,difference,prediccion_puja
SUB-JA-2022-204013,JUDICIAL EN VÍA DE APREMIO,4743 0000 05 1018 20,17-11-2022,08-12-2022,7145,BOE-B-2022-35270,108482,0,0,2169,5424,Urbanización Els Racons nº 5. partida Michafiga,46220,Picassent,Valencia/València,58580,1088,101337,53591
SUB-JA-2022-196067,JUDICIAL EN VÍA DE APREMIO,2368 0000 06 0191 20,17-11-2022,08-12-2022,142298,BOE-B-2022-35269,305832,0,0,6116,15291,"CALLE GABRIEL GARCÍA MÁRQUEZ, 31",28980,PARLA,Madrid,177382,1721,163534,159333
SUB-JA-2022-204060,JUDICIAL EN VÍA DE APREMIO,2995 0000 06 0456 16,17-11-2022,08-12-2022,55933,BOE-B-2022-35263,247902,0,0,0,12395,VIVIENDA 1 BLOQUE 19 CONJUNTO RESIDENCIAL HACIENDA ELVIRIA EN LAS CHAPAS URBANIZACION COTO DE LOS DOLORES,29600,Marbella,Málaga,252000,1721,191969,130042
SUB-JA-2022-198972,JUDICIAL EN VÍA DE APREMIO,3997 0000 06 1661 20,27-09-2022,08-12-2022,210425,BOE-B-2022-28879,826272,0,0,16525,41313,"AVENIDA DE JACARANDA, 5, URBANIZACION CLUB DE GOLF EL ZAUDIN",41930,BORMUJOS,Sevilla,512288,1557,615847,400756
SUB-JA-2022-203383,JUDICIAL EN VÍA DE APREMIO,5418 0000 06 0169 21,17-11-2022,07-12-2022,34853,BOE-B-2022-35253,121684,121684,45978,2433,6084,"Calle Palma de Mallorca, nº 13, bloque 19, 3º D, San Cristobal",35016,Las Palmas de Gran Canaria,Las Palmas,45978,1130,86831,62614
SUB-JA-2022-203284,JUDICIAL EN VÍA DE APREMIO,0865 0000 05 0546 19,17-11-2022,07-12-2022,246612,BOE-B-2022-35281,248692,0,0,4973,12434,"GALILEU, 178 3º2º",8224,TERRASSA,Barcelona,208902,2143,2080,149438
SUB-JA-2022-202111,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0043 21,17-11-2022,07-12-2022,105622,BOE-B-2022-35262,243750,0,0,0,12187,"Grupo Camino Viejo de Leganes, 172 - Piso: 1 - Puerta: IZQ",28019,MADRID,Madrid,100000,2574,138128,124325
SUB-JA-2022-201298,JUDICIAL EN VÍA DE APREMIO,3491 0000 05 0552 05,17-11-2022,07-12-2022,23332,BOE-B-2022-35255,26087,0,0,521,1304,"CALLE DOCTOR GRAU BASSAS Nº 41, PLANTA 1ª, PUERTA 102",35007,LAS PALMAS DE GRAN CANARIA,Las Palmas,45391,3357,2755,27800
SUB-JA-2022-197884,JUDICIAL EN VÍA DE APREMIO,3961 0000 06 0931 15,17-11-2022,07-12-2022,65578,BOE-B-2022-35242,120100,0,0,2402,6005,Avd. de Andalucia n6,41111,ALMENSILLA,Sevilla,69658,1142,54522,69144
SUB-JA-2022-204002,JUDICIAL EN VÍA DE APREMIO,4395 0000 05 0768 11,17-11-2022,07-12-2022,42336,BOE-B-2022-35259,74900,74900,0,1498,3745,"Avenida Alférez Provisional nº 7, vivienda piso 1º, pta. 156",46009,VALENCIA,Valencia/València,58422,1778,32564,65910
