0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SUB-JA-2022-204013,JUDICIAL EN VÍA DE APREMIO,4743 0000 05 1018 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),08-12-2022 00:00:48 CET (ISO: 2022-12-08T00:00:48+01:00),"7.145,84 €",BOE-B-2022-35270,"108.482,68 €","0,00 €",Sin puja mínima,"2.169,65 €","5.424,13 €",Urbanización Els Racons nº 5. partida Michafiga,46220,Picassent,Valencia/València,"58.580,55 €"
SUB-JA-2022-196067,JUDICIAL EN VÍA DE APREMIO,2368 0000 06 0191 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),08-12-2022 00:24:41 CET (ISO: 2022-12-08T00:24:41+01:00),"142.298,34 €",BOE-B-2022-35269,"305.832,00 €","0,00 €",Sin puja mínima,"6.116,64 €","15.291,60 €","CALLE GABRIEL GARCÍA MÁRQUEZ, 31",28980,PARLA,Madrid,"177.382,56 €"
SUB-RC-2022-0020220000042,RECAUDACIÓN TRIBUTARIA,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),08-12-2022 00:36:10 CET (ISO: 2022-12-08T00:36:10+01:00),"13.389,83 €",BOE-B-2022-35375,"65.573,08 €","65.573,08 €","25.000,00 €","200,00 €","3.278,65 €","Calle Dolores, 70",15402,Ferrol,A Coruña,"36.600,00 €",
SUB-JA-2022-204060,JUDICIAL EN VÍA DE APREMIO,2995 0000 06 0456 16,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),08-12-2022 03:59:07 CET (ISO: 2022-12-08T03:59:07+01:00),"55.933,14 €",BOE-B-2022-35263,"247.902,51 €","0,00 €",Sin puja mínima,Sin tramos,"12.395,13 €",VIVIENDA 1 BLOQUE 19 CONJUNTO RESIDENCIAL HACIENDA ELVIRIA EN LAS CHAPAS URBANIZACION COTO DE LOS DOLORES,29600,Marbella,Málaga,"252.000,00 €"
SUB-JA-2022-198972,JUDICIAL EN VÍA DE APREMIO,3997 0000 06 1661 20,27-09-2022 18:00:00 CET (ISO: 2022-09-27T18:00:00+02:00),08-12-2022 19:01:09 CET (ISO: 2022-12-08T19:01:09+01:00),"210.425,73 €",BOE-B-2022-28879,"826.272,85 €","0,00 €",Sin puja mínima,"16.525,45 €","41.313,64 €","AVENIDA DE JACARANDA, 5, URBANIZACION CLUB DE GOLF EL ZAUDIN",41930,BORMUJOS,Sevilla,"512.288,95 €"
SUB-JA-2022-200844,JUDICIAL EN VÍA DE APREMIO,2365 0000 06 0840 11,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"107.644,83 €",BOE-B-2022-35241,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),,,,,
SUB-JA-2022-203383,JUDICIAL EN VÍA DE APREMIO,5418 0000 06 0169 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"34.853,65 €",BOE-B-2022-35253,"121.684,00 €","121.684,00 €","45.978,65 €","2.433,68 €","6.084,20 €","Calle Palma de Mallorca, nº 13, bloque 19, 3º D, San Cristobal",35016,Las Palmas de Gran Canaria,Las Palmas,"45.978,65 €"
SUB-JA-2022-203284,JUDICIAL EN VÍA DE APREMIO,0865 0000 05 0546 19,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"246.612,85 €",BOE-B-2022-35281,"248.692,80 €","0,00 €",Sin puja mínima,"4.973,86 €","12.434,64 €","GALILEU, 178 3º2º",08224,TERRASSA,Barcelona,"208.902,12 €"
SUB-JA-2022-202111,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0043 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"105.622,00 €",BOE-B-2022-35262,"243.750,00 €","0,00 €",Sin puja mínima,Sin tramos,"12.187,50 €","Grupo Camino Viejo de Leganes, 172 - Piso: 1 - Puerta: IZQ",28019,MADRID,Madrid,"100.000,00 €"
SUB-NE-2022-1145989,NOTARIAL EN VENTA EXTRAJUDICIAL,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"106.195,35 €",BOE-B-2022-35399,No consta,"180.300,00 €",Sin puja mínima,Sin tramos,"9.015,00 €",CALLE MAYOR 17 ESCALERA 1 PLANTA 2 PUERTA C 30150 LA ALBERCA MURCIA,30150,Murcia,Murcia,,
