iter	RMSE
0	584915.1605
1	578347.376
2	571884.129
3	565747.4921
4	559617.871
5	553670.819
6	547819.6953
7	542011.877
8	536352.3866
9	530725.0264
10	525070.8698
11	519600.5681
12	514262.8864
13	509019.0731
14	504956.9175
15	499920.0928
16	494950.9759
17	489933.4966
18	485062.8769
19	480346.1719
20	475714.1023
21	471160.5549
22	466611.1417
23	462064.1112
24	457647.5895
25	453387.0027
26	449190.8782
27	444367.9418
28	440276.587
29	436204.967
30	432314.3509
31	428440.642
32	424665.4397
33	420924.494
34	417227.342
35	412354.8436
36	408890.747
37	405384.1288
38	402027.013
39	398495.5175
40	395217.7233
41	392011.256
42	388797.6657
43	385649.2008
44	382577.7906
45	379652.2476
46	376672.5691
47	373716.4648
48	370917.9086
49	368177.3143
50	365468.2428
51	362853.798
52	360232.7947
53	357736.7273
54	355089.8645
55	352635.6122
56	350277.3587
57	347969.2219
58	345706.7664
59	343433.7481
60	337925.5775
61	335772.3722
62	333494.0097
63	331371.7264
64	328321.9594
65	326342.3468
66	324356.8463
67	319309.9894
68	317411.1298
69	314068.5753
70	308806.419
71	306988.3356
72	303994.644
73	302221.6208
74	300497.8573
75	296150.0889
76	291592.1581
77	289964.9616
78	285510.8388
79	283929.4422
80	281452.9987
81	278552.2646
82	276321.5574
83	274845.5787
84	270681.5169
85	266886.0792
86	265427.4908
87	262786.974
88	259006.3849
89	257673.5121
90	255693.3107
91	251911.4595
92	250658.669
93	248204.3038
94	244714.4361
95	242203.5461
96	241022.1265
97	239884.4936
98	238756.7454
99	236481.6711
100	235406.6747
101	232025.2652
102	229847.1461
103	228832.5959
104	225690.8416
105	224704.625
106	222530.9939
107	221498.428
108	218811.5202
109	217888.6319
110	215071.2427
111	212253.3528
112	211390.5005
113	208750.3336
114	206275.4119
115	205444.7357
116	203861.6829
117	202022.3697
118	200481.1871
119	199695.9488
120	198882.0406
121	196344.58
122	195633.8635
123	193219.8188
124	192461.317
125	190841.0532
126	190093.9086
127	187752.4636
128	186139.8621
129	185419.0163
130	183205.5602
131	181308.4509
132	180571.9639
133	178361.5148
134	177058.6232
135	176472.4034
136	174343.7394
137	172616.3541
138	170533.9552
139	169204.5492
140	167879.5576
141	166314.2236
142	165054.8278
143	163797.6581
144	162553.1631
145	161485.5255
146	160306.9001
147	158575.1007
148	157763.5848
149	157229.5838
150	156247.1067
151	154880.0139
152	153740.4182
153	152146.5715
154	151043.5481
155	149454.5852
156	148962.7178
157	148053.464
158	147588.9063
159	146554.9153
160	145174.3357
161	144724.9066
162	143167.3219
163	142012.3105
164	141621.7937
165	140320.847
166	139894.705
167	138935.2693
168	137723.4633
169	136844.4641
170	135984.8794
171	134810.6475
172	133801.6951
173	133237.3603
174	132887.9587
175	131786.8418
176	130569.0877
177	130192.9302
178	129120.5781
179	127970.4494
180	127625.1615
181	126510.1677
182	125446.7818
183	124696.7658
184	124361.795
185	123405.9252
186	122571.9595
187	121675.3108
188	120978.0259
189	120293.1489
190	119626.6012
191	118877.5499
192	118212.6829
193	117590.3074
194	116792.1815
195	116185.5971
196	115577.4835
197	115005.9233
198	114213.3492
199	113423.3012
200	113039.2529
201	112583.6099
202	111855.0839
203	111318.2523
204	110896.9218
205	110554.0936
206	110148.8357
207	109533.6427
208	109213.4279
209	108603.8467
210	108013.7268
211	107711.7184
212	107208.8267
213	106757.3754
214	106344.6276
215	105719.5609
216	105320.2459
217	104915.2042
218	104680.985
219	104409.3584
220	103626.4498
221	103403.9059
222	103142.0625
223	102661.5349
224	102447.1548
225	102196.4149
226	101471.166
227	101260.1874
228	101019.1072
229	100813.007
230	100134.3176
231	99915.48152
232	99682.16813
233	99468.88192
234	99240.72786
235	99050.8638
236	98828.06967
237	98642.85005
238	98237.34168
239	98023.63682
240	97844.09112
241	97247.81068
242	96650.96618
243	96445.35817
244	96244.85441
245	96073.89386
246	95876.54425
247	95691.88553
248	95498.98027
249	94792.78648
250	94359.42312
251	94172.01199
252	94013.66831
253	93830.73496
254	93372.87738
255	93202.23638
256	93026.56004
257	92875.69483
258	92357.39777
259	92185.0653
260	92017.04976
261	91872.1082
262	91563.38235
263	91039.58598
264	90880.85715
265	90727.57814
266	90571.11269
267	90201.91817
268	90067.37552
269	89610.96787
270	89466.37834
271	89123.25646
272	88974.25804
273	88835.68175
274	88690.23126
275	88396.08372
276	87958.2204
277	87815.41433
278	87676.23629
279	87540.59578
280	87099.86878
281	86968.84761
282	86853.68626
283	86723.23204
284	86419.65491
285	86066.22581
286	85938.51657
287	85814.31889
288	85556.77565
289	85192.00393
290	85070.04662
291	84950.47665
292	84831.87521
293	84715.1976
294	84599.87562
295	84486.45568
296	84374.36519
297	83897.00778
298	83639.36879
299	83517.14875
300	83407.12843
301	82962.06533
302	82854.68651
303	82728.43305
304	82424.68499
305	82319.49609
306	81956.60904
307	81855.85465
308	81742.66842
309	81526.68987
310	81427.6283
311	81320.59997
312	81224.32339
313	81129.75419
314	80822.91366
315	80620.13846
316	80360.23967
317	80271.32383
318	80073.78394
319	79856.21599
320	79812.82087
321	79725.62668
322	79640.37045
323	79556.98614
324	79266.07568
325	78966.53995
326	78689.64352
327	78608.73644
328	78344.41292
329	78075.06299
330	77824.33708
331	77746.33756
332	77662.91615
333	77361.18029
334	77284.69947
335	77018.57549
336	76856.97796
337	76783.57761
338	76712.04635
339	76515.52928
340	76446.64721
341	76365.57514
342	76232.26056
343	75959.78609
344	75892.14581
345	75652.72048
346	75564.82055
347	75446.53123
348	75333.26074
349	75191.60119
350	75108.34764
351	74885.21268
352	74849.26003
353	74768.73723
354	74570.76302
355	74510.64989
356	74451.6184
357	74359.28507
358	74289.22709
359	74086.68115
360	74054.39446
361	73986.06999
362	73930.82281
363	73792.54302
364	73759.31978
365	73692.85952
366	73660.48638
367	73506.22198
368	73453.38578
369	73422.12414
370	73394.35123
371	73331.44306
372	73300.70991
373	73250.37118
374	73189.42315
375	73124.84336
376	73096.33023
377	72979.64386
378	72930.21946
379	72745.00259
380	72514.47554
381	72485.25928
382	72457.66686
383	72246.87791
384	72137.32007
385	72050.37953
386	72022.32635
387	71995.91682
388	71951.54093
389	71801.35995
390	71747.87665
391	71590.93358
392	71460.00137
393	71432.736
394	71375.33576
395	71348.69615
396	71292.96924
397	71236.98339
398	71210.90029
399	71157.22939
400	71132.90097
401	71012.68238
402	70883.2965
403	70739.5589
404	70639.38617
405	70614.34389
406	70566.40793
407	70473.28113
408	70448.59091
409	70401.7761
410	70377.67089
411	70354.05448
412	70304.4554
413	70252.80503
414	70229.56192
415	70184.98766
416	70064.78339
417	70042.03185
418	69998.40118
419	69882.27649
420	69860.08043
421	69673.02901
422	69575.68401
423	69533.00221
424	69511.4407
425	69469.76844
426	69418.50502
427	69308.24306
428	69275.81096
429	69254.70466
430	69200.01458
431	69153.10823
432	69097.52576
433	68869.32295
434	68814.18787
435	68793.693
436	68744.99739
437	68632.80303
438	68612.73735
439	68539.90812
440	68491.08161
441	68471.42382
442	68452.18082
443	68433.22518
444	68381.04984
445	68290.81507
446	68154.03345
447	68135.21171
448	68040.86103
449	68022.54887
450	67973.28624
451	67925.16182
452	67907.13184
453	67825.43328
454	67730.0849
455	67712.26447
456	67576.08063
457	67522.80992
458	67492.04042
459	67474.60059
460	67428.59424
461	67339.05519
462	67309.1063
463	67292.12169
464	67249.71258
465	67220.90568
466	67204.31341
467	67120.86683
468	67041.86105
469	67025.46553
470	67000.59219
471	66984.44017
472	66909.19959
473	66717.43259
474	66701.55413
475	66658.94068
476	66631.79215
477	66616.11887
478	66570.64395
479	66555.11652
480	66495.66489
481	66324.05076
482	66293.1285
483	66263.40917
484	66224.25656
485	66184.24608
486	66107.12937
487	66091.78934
488	66058.07285
489	66027.83439
490	65938.80721
491	65923.64502
492	65908.78207
493	65772.68253
494	65758.00003
495	65713.57171
496	65685.74273
497	65636.70167
498	65609.89427
499	65537.65174
500	65523.00233
501	65497.12909
502	65459.3228
503	65335.8564
504	65321.30698
505	65286.01307
506	65256.70784
507	65223.35807
508	65126.84
509	65112.4398
510	65098.25201
511	65021.06048
512	64987.00783
513	64962.81076
514	64893.91101
515	64867.96407
516	64853.9889
517	64798.27534
518	64641.96794
519	64617.17108
520	64588.4232
521	64574.72302
522	64561.25304
523	64528.61577
524	64492.35804
525	64478.92114
526	64455.41443
527	64402.59265
528	64357.85966
529	64252.04034
530	64238.3998
531	64224.99251
532	64193.20963
533	64131.26975
534	64104.50008
535	64091.32801
536	64036.11398
537	63891.04178
538	63839.79503
539	63827.64145
540	63801.36088
541	63779.16256
542	63743.72037
543	63730.79707
544	63718.05223
545	63675.9285
546	63617.49548
547	63604.43963
548	63573.67112
549	63519.96915
550	63434.49923
551	63357.91081
552	63286.52766
553	63273.82737
554	63170.77817
555	63131.64329
556	63105.43986
557	63093.7474
558	63002.26383
559	62981.03749
560	62968.57845
561	62943.68005
562	62931.33402
563	62910.71267
564	62875.67792
565	62863.47329
566	62820.69858
567	62795.85809
568	62682.43341
569	62670.23306
570	62657.45674
571	62627.11985
572	62615.19132
573	62532.53
574	62519.85498
575	62508.05684
576	62483.98247
577	62472.2509
578	62459.56556
579	62351.86812
580	62283.48968
581	62271.84515
582	62240.81375
583	62204.9699
584	62148.90594
585	62119.03657
586	62054.37063
587	62042.78381
588	61986.3928
589	61974.94547
590	61929.15362
591	61917.19641
592	61905.86634
593	61834.43003
594	61789.63347
595	61770.48056
596	61751.90386
597	61733.8815
598	61722.08195
599	61618.27141
600	61597.28874
601	61586.05856
602	61568.2752
603	61557.1351
604	61539.30526
605	61521.32683
606	61500.76141
607	61483.05232
608	61422.02357
609	61404.8485
610	61363.90641
611	61352.86677
612	61340.57832
613	61328.66471
614	61317.79216
615	61205.85638
616	61165.21028
617	61154.27513
618	61137.51306
619	61126.2337
620	61063.29451
621	61020.63516
622	60992.52159
623	60874.43781
624	60852.52144
625	60826.56222
626	60815.83337
627	60799.3859
628	60760.61806
629	60744.80776
630	60734.141
631	60718.75849
632	60703.87601
633	60666.06527
634	60635.01841
635	60556.31101
636	60545.73854
637	60535.80403
638	60466.03849
639	60455.68112
640	60402.64238
641	60391.72603
642	60381.50143
643	60371.32734
644	60361.63704
645	60336.85001
646	60327.39568
647	60305.1057
648	60266.9241
649	60251.72159
650	60213.48517
651	60176.5284
652	60166.99416
653	60145.99875
654	60136.06409
655	60126.68881
656	60106.88037
657	60092.46375
658	60036.24416
659	60016.41203
660	60006.11859
661	59994.691
662	59939.81838
663	59858.68109
664	59848.68442
665	59838.82588
666	59745.98571
667	59734.8798
668	59711.01719
669	59694.23111
670	59684.52227
671	59625.19197
