iter	Passed	Remaining
0	58	58194
1	59	29586
2	60	20139
3	61	15373
4	62	12510
5	63	10570
6	64	9190
7	65	8170
8	67	7383
9	68	6756
10	69	6241
11	70	5805
12	71	5434
13	72	5105
14	73	4826
15	74	4585
16	75	4366
17	76	4170
18	77	4007
19	78	3853
20	79	3709
21	80	3593
22	81	3477
23	82	3370
24	84	3278
25	84	3180
26	85	3096
27	86	3011
28	87	2943
29	89	2881
30	90	2824
31	91	2762
32	92	2707
33	93	2665
34	94	2614
35	95	2565
36	96	2516
37	97	2472
38	98	2429
39	99	2385
40	100	2353
41	101	2322
42	102	2289
43	104	2262
44	105	2236
45	106	2214
46	107	2189
47	109	2164
48	110	2140
49	111	2113
50	112	2092
51	113	2068
52	114	2044
53	115	2024
54	116	2005
55	117	1986
56	118	1966
57	119	1947
58	120	1928
59	121	1909
60	122	1888
61	123	1871
62	124	1856
63	125	1838
64	126	1823
65	127	1807
66	129	1803
67	130	1789
68	131	1774
69	132	1760
70	133	1746
71	134	1736
72	135	1722
73	136	1711
74	137	1699
75	138	1687
76	139	1675
77	140	1665
78	141	1652
79	142	1643
80	143	1631
81	144	1619
82	145	1611
83	147	1603
84	148	1593
85	149	1584
86	150	1575
87	151	1567
88	152	1560
89	153	1554
90	154	1544
91	155	1537
92	157	1532
93	158	1523
94	159	1516
95	160	1508
96	161	1503
97	162	1495
98	163	1490
99	164	1482
100	165	1475
101	166	1467
102	167	1461
103	168	1455
104	169	1448
105	170	1442
106	172	1437
107	174	1437
108	175	1431
109	176	1426
110	177	1419
111	178	1413
112	179	1408
113	180	1404
114	181	1398
115	182	1394
116	183	1387
117	184	1381
118	185	1376
119	186	1370
120	187	1364
121	188	1359
122	189	1353
123	190	1348
124	191	1343
125	192	1338
126	194	1333
127	195	1329
128	196	1325
129	197	1321
130	198	1316
131	199	1312
132	200	1308
133	201	1303
134	202	1299
135	203	1295
136	205	1291
137	205	1286
138	206	1281
139	207	1276
140	209	1273
141	210	1269
142	211	1264
143	212	1260
144	213	1255
145	214	1252
146	215	1249
147	216	1244
148	217	1240
149	218	1236
150	219	1234
151	220	1231
152	221	1227
153	222	1224
154	223	1220
155	225	1217
156	226	1213
157	227	1210
158	228	1206
159	228	1202
160	230	1199
161	231	1195
162	232	1192
163	233	1188
164	234	1184
165	235	1182
166	236	1178
167	237	1175
168	238	1172
169	239	1169
170	240	1166
171	241	1162
172	242	1159
173	243	1156
174	244	1154
175	245	1150
176	246	1146
177	247	1144
178	248	1141
179	250	1139
180	251	1135
181	252	1132
182	252	1129
183	254	1126
184	255	1124
185	256	1121
186	257	1119
187	258	1116
188	259	1113
189	260	1110
190	261	1108
191	262	1105
192	263	1103
193	264	1100
194	265	1098
195	267	1095
196	268	1093
197	269	1090
198	270	1088
199	271	1085
200	272	1082
201	273	1080
202	274	1077
203	275	1074
204	276	1071
205	277	1068
206	278	1065
207	279	1062
208	280	1063
209	281	1060
210	282	1057
211	283	1055
212	284	1052
213	285	1050
214	287	1047
215	288	1045
216	289	1043
217	290	1041
218	291	1039
219	292	1037
220	293	1034
221	294	1033
222	296	1031
223	297	1029
224	298	1027
225	299	1025
226	300	1022
227	301	1020
228	302	1017
229	303	1015
230	304	1012
231	305	1010
232	306	1008
233	307	1005
234	308	1003
235	309	1001
236	310	999
237	311	996
238	312	994
239	313	992
240	314	990
241	315	988
242	316	986
243	317	984
244	318	981
245	319	979
246	320	977
247	321	974
248	322	973
249	323	971
250	324	969
251	325	966
252	326	964
253	327	962
254	329	961
255	330	959
256	331	957
257	332	954
258	332	952
259	333	950
260	334	948
261	335	946
262	336	944
263	337	942
264	338	940
265	340	938
266	341	936
267	341	934
268	342	932
269	344	930
270	345	928
271	346	926
272	347	924
273	348	923
274	349	921
275	350	919
276	351	917
277	352	915
278	353	913
279	354	911
280	355	909
281	356	907
282	357	905
283	358	903
284	359	901
285	360	899
286	361	898
287	362	896
288	363	894
289	364	892
290	365	890
291	366	888
292	367	886
293	368	884
294	369	882
295	370	880
296	370	878
297	371	876
298	373	874
299	373	872
300	375	870
301	375	868
302	377	867
303	378	865
304	379	864
305	380	862
306	381	860
307	382	858
308	383	856
309	384	854
310	385	853
311	385	851
312	387	849
313	388	847
314	389	846
315	390	844
316	391	842
317	392	841
318	393	839
319	394	837
320	395	836
321	396	834
322	397	832
323	398	831
324	399	830
325	400	828
326	401	827
327	402	825
328	404	824
329	405	822
330	406	821
331	407	819
332	408	818
333	409	816
334	410	814
335	411	813
336	412	811
337	413	809
338	414	808
339	415	806
340	416	805
341	417	803
342	419	802
343	420	801
344	421	799
345	422	798
346	423	796
347	424	795
348	425	793
349	426	792
350	427	790
351	428	789
352	429	788
353	431	786
354	431	784
355	433	783
356	434	781
357	434	780
358	435	778
359	436	776
360	437	775
361	438	773
362	439	771
363	440	770
364	442	768
365	442	767
366	443	765
367	445	764
368	446	762
369	447	761
370	447	759
371	448	757
372	450	756
373	451	754
374	452	753
375	453	751
376	454	750
377	455	748
378	456	747
379	457	745
380	458	744
381	459	742
382	460	741
383	461	739
384	462	738
385	463	737
386	464	736
387	465	734
388	466	733
389	467	731
390	468	730
391	469	728
392	470	727
393	471	725
394	472	723
395	473	722
396	474	720
397	475	719
398	476	717
399	477	716
400	478	714
401	479	712
402	480	711
403	481	709
404	482	708
405	483	706
406	483	705
407	484	703
408	485	702
409	486	700
410	487	699
411	488	697
412	489	696
413	490	694
414	491	693
415	493	692
416	494	691
417	495	689
418	496	688
419	497	686
420	498	685
421	499	683
422	500	682
423	501	680
424	502	679
425	503	677
426	504	676
427	505	675
428	506	673
429	506	671
430	507	670
431	508	668
432	509	667
433	510	665
434	511	664
435	512	663
436	513	661
437	514	660
438	515	659
439	517	658
440	518	656
441	519	655
442	520	654
443	521	652
444	522	651
445	523	650
446	524	648
447	525	647
448	526	645
449	527	644
450	528	643
451	529	641
452	530	640
453	531	639
454	532	638
455	534	637
456	535	635
457	536	634
458	537	633
459	538	632
460	539	630
461	540	629
462	541	628
463	542	627
464	543	625
465	545	624
466	546	623
467	547	622
468	548	620
469	549	619
470	550	618
471	551	617
472	552	615
473	553	614
474	554	613
475	555	611
476	556	610
477	557	609
478	558	607
479	559	606
480	561	605
481	562	604
482	563	602
483	564	601
484	565	600
485	566	598
486	567	597
487	568	596
488	569	594
489	570	593
490	571	592
491	572	591
492	573	589
493	574	588
494	575	587
495	576	586
496	577	584
497	578	583
498	580	582
499	581	581
500	582	580
501	583	578
502	584	577
503	585	576
504	586	575
505	587	573
506	588	572
507	590	571
508	591	570
509	592	568
510	593	567
511	594	566
512	595	564
513	596	563
514	597	562
515	598	561
516	599	559
517	600	558
518	601	557
519	602	556
520	603	554
521	604	553
522	605	552
523	606	550
524	607	549
525	608	548
526	609	547
527	610	546
528	611	544
529	613	543
530	614	542
531	615	541
532	616	540
533	617	538
534	618	537
535	619	536
536	621	535
537	622	534
538	623	533
539	624	531
540	625	530
541	626	529
542	627	528
543	628	526
544	629	525
545	630	524
546	631	523
547	632	521
548	633	520
549	634	519
550	635	517
